frame,track_id,name,posture
1,1,Unknown,SITTING
1,2,Unknown,SITTING
1,3,Unknown,SITTING
1,4,Unknown,SITTING
1,5,Unknown,SITTING
1,6,Unknown,SITTING
1,7,Unknown,STANDING
1,8,Unknown,SITTING
1,9,Unknown,SITTING
1,10,Unknown,SITTING
1,11,Unknown,SITTING
1,12,Unknown,SITTING
1,13,Unknown,SITTING
1,14,Unknown,SITTING
1,15,Unknown,STANDING
1,16,Unknown,STANDING
1,17,Unknown,SITTING
1,18,Unknown,SITTING
1,19,Unknown,SITTING
1,20,Unknown,SITTING
1,21,Unknown,SITTING
1,22,Unknown,SITTING
1,23,Unknown,SITTING
2,1,Unknown,SITTING
2,2,Unknown,SITTING
2,3,Unknown,SITTING
2,4,Unknown,SITTING
2,5,Unknown,SITTING
2,6,Unknown,SITTING
2,7,Unknown,STANDING
2,8,Unknown,SITTING
2,9,Unknown,SITTING
2,10,Unknown,SITTING
2,11,Unknown,SITTING
2,12,Unknown,SITTING
2,13,Unknown,SITTING
2,14,Unknown,SITTING
2,15,Unknown,STANDING
2,16,Unknown,STANDING
2,17,Unknown,SITTING
2,18,Unknown,SITTING
2,19,Unknown,SITTING
2,20,Unknown,SITTING
2,21,Unknown,SITTING
2,22,Unknown,SITTING
2,23,Unknown,SITTING
3,1,Unknown,SITTING
3,2,Unknown,SITTING
3,3,Unknown,SITTING
3,4,Unknown,SITTING
3,5,Unknown,SITTING
3,6,Unknown,SITTING
3,7,Unknown,STANDING
3,8,Unknown,SITTING
3,9,Unknown,SITTING
3,10,Unknown,SITTING
3,11,Unknown,SITTING
3,12,Unknown,SITTING
3,13,Unknown,SITTING
3,14,Unknown,SITTING
3,15,Unknown,STANDING
3,16,Unknown,STANDING
3,17,Unknown,SITTING
3,18,Unknown,SITTING
3,19,Unknown,SITTING
3,20,Unknown,SITTING
3,21,Unknown,SITTING
3,22,Unknown,SITTING
3,23,Unknown,SITTING
4,1,Unknown,SITTING
4,2,Unknown,SITTING
4,3,Unknown,SITTING
4,4,Unknown,SITTING
4,5,Unknown,SITTING
4,6,Unknown,SITTING
4,7,Unknown,STANDING
4,8,Unknown,SITTING
4,9,Unknown,SITTING
4,10,Unknown,SITTING
4,11,Unknown,SITTING
4,12,Unknown,SITTING
4,13,Unknown,SITTING
4,14,Unknown,SITTING
4,15,Unknown,STANDING
4,16,Unknown,STANDING
4,17,Unknown,SITTING
4,18,Unknown,SITTING
4,19,Unknown,SITTING
4,20,Unknown,SITTING
4,21,Unknown,SITTING
4,22,Unknown,SITTING
4,23,Unknown,SITTING
5,1,Unknown,SITTING
5,2,Unknown,SITTING
5,3,Unknown,SITTING
5,4,Unknown,SITTING
5,5,Unknown,SITTING
5,6,Unknown,SITTING
5,7,Unknown,STANDING
5,8,Unknown,SITTING
5,9,Unknown,SITTING
5,10,Unknown,SITTING
5,11,Unknown,SITTING
5,12,Unknown,SITTING
5,13,Unknown,SITTING
5,14,Unknown,SITTING
5,15,Unknown,STANDING
5,16,Unknown,STANDING
5,17,Unknown,SITTING
5,18,Unknown,SITTING
5,19,Unknown,SITTING
5,20,Unknown,SITTING
5,21,Unknown,SITTING
5,22,Unknown,SITTING
5,23,Unknown,SITTING
5,24,Unknown,SITTING
6,1,Unknown,SITTING
6,2,Unknown,SITTING
6,3,Unknown,SITTING
6,4,Unknown,SITTING
6,5,Unknown,SITTING
6,6,Unknown,SITTING
6,7,Unknown,STANDING
6,8,Unknown,SITTING
6,9,Unknown,SITTING
6,10,Unknown,SITTING
6,11,Unknown,SITTING
6,12,Unknown,SITTING
6,13,Unknown,SITTING
6,14,Unknown,SITTING
6,15,Unknown,STANDING
6,16,Unknown,STANDING
6,17,Unknown,SITTING
6,18,Unknown,SITTING
6,19,Unknown,SITTING
6,20,Unknown,SITTING
6,21,Unknown,SITTING
6,22,Unknown,SITTING
6,23,Unknown,SITTING
6,24,Unknown,SITTING
7,1,Unknown,SITTING
7,2,Unknown,SITTING
7,3,Unknown,SITTING
7,4,Unknown,SITTING
7,5,Unknown,SITTING
7,6,Unknown,SITTING
7,7,Unknown,STANDING
7,8,Unknown,SITTING
7,9,Unknown,SITTING
7,10,Unknown,SITTING
7,11,Unknown,SITTING
7,12,Unknown,SITTING
7,13,Unknown,SITTING
7,14,Unknown,SITTING
7,15,Unknown,STANDING
7,16,Unknown,STANDING
7,17,Unknown,SITTING
7,18,Unknown,SITTING
7,19,Unknown,SITTING
7,20,Unknown,SITTING
7,21,Unknown,SITTING
7,22,Unknown,SITTING
7,23,Unknown,SITTING
7,24,Unknown,SITTING
8,1,Unknown,SITTING
8,2,Unknown,SITTING
8,3,Unknown,SITTING
8,4,Unknown,SITTING
8,5,Unknown,SITTING
