Frame,ID,State,Confidence
17,8,STANDING,0.76
17,9,STANDING,0.68
17,10,SITTING,0.69
17,11,STANDING,0.64
17,12,STANDING,0.18
17,19,STANDING,0.45
18,1,SITTING,0.86
18,2,SITTING,0.88
18,3,STANDING,0.78
18,4,SITTING,0.84
18,5,SITTING,0.85
18,6,SITTING,0.79
18,7,SITTING,0.78
18,8,STANDING,0.77
18,9,STANDING,0.69
18,10,SITTING,0.69
18,11,STANDING,0.65
18,12,STANDING,0.17
18,19,STANDING,0.49
18,21,SITTING,0.33
19,1,SITTING,0.86
19,2,SITTING,0.87
19,3,STANDING,0.78
19,4,SITTING,0.84
19,5,SITTING,0.84
19,6,SITTING,0.78
19,7,SITTING,0.8
19,8,STANDING,0.74
19,9,STANDING,0.64
19,10,SITTING,0.7
19,11,STANDING,0.64
19,12,STANDING,0.15
19,19,STANDING,0.4
19,21,SITTING,0.26
20,1,SITTING,0.86
20,2,SITTING,0.87
20,3,STANDING,0.81
20,4,SITTING,0.83
20,5,SITTING,0.84
20,6,SITTING,0.78
20,7,SITTING,0.8
20,8,STANDING,0.76
20,9,STANDING,0.65
20,10,SITTING,0.76
20,11,STANDING,0.64
20,12,STANDING,0.16
20,19,SITTING,0.44
20,21,SITTING,0.23
21,1,SITTING,0.86
21,2,SITTING,0.87
21,3,STANDING,0.81
21,4,SITTING,0.83
21,5,SITTING,0.84
21,6,SITTING,0.77
21,7,SITTING,0.8
21,8,STANDING,0.76
21,9,STANDING,0.66
21,10,SITTING,0.76
21,11,STANDING,0.64
21,12,STANDING,0.14
21,19,STANDING,0.48
21,21,SITTING,0.28
22,1,SITTING,0.86
22,2,SITTING,0.87
22,3,STANDING,0.85
22,4,SITTING,0.83
22,5,SITTING,0.84
22,6,SITTING,0.78
22,7,SITTING,0.81
22,8,STANDING,0.76
22,9,STANDING,0.65
22,10,SITTING,0.76
22,11,STANDING,0.65
22,12,STANDING,0.1
22,19,STANDING,0.43
22,21,SITTING,0.11
23,1,SITTING,0.86
23,2,SITTING,0.87
23,3,STANDING,0.85
23,4,SITTING,0.83
23,5,SITTING,0.84
23,6,SITTING,0.78
23,7,SITTING,0.81
23,8,STANDING,0.75
23,9,STANDING,0.63
23,10,SITTING,0.78
23,11,STANDING,0.64
23,12,STANDING,0.1
23,19,SITTING,0.46
23,21,SITTING,0.11
24,1,SITTING,0.86
24,2,SITTING,0.88
24,3,STANDING,0.83
24,4,SITTING,0.83
24,5,SITTING,0.84
24,6,SITTING,0.8
24,7,SITTING,0.8
24,8,STANDING,0.76
24,9,SITTING,0.51
24,10,SITTING,0.79
24,11,STANDING,0.66
24,12,STANDING,0.13
24,19,STANDING,0.45
24,21,SITTING,0.2
25,1,SITTING,0.86
25,2,SITTING,0.87
25,3,STANDING,0.8
25,4,SITTING,0.83
25,5,SITTING,0.84
25,6,SITTING,0.79
25,7,SITTING,0.78
25,8,STANDING,0.77
25,9,SITTING,0.54
25,10,SITTING,0.79
25,11,STANDING,0.65
25,12,STANDING,0.16
25,19,STANDING,0.58
25,21,SITTING,0.17
26,1,SITTING,0.86
26,2,SITTING,0.87
26,3,STANDING,0.79
26,4,SITTING,0.83
26,5,SITTING,0.84
26,6,SITTING,0.79
