Frame,ID,State,Confidence
15,5,SITTING,0.86
15,6,SITTING,0.85
15,7,SITTING,0.85
15,8,STANDING,0.83
15,9,SITTING,0.84
15,10,SITTING,0.78
15,11,STANDING,0.8
15,12,SITTING,0.75
15,13,SITTING,0.51
15,14,STANDING,0.85
15,15,SITTING,0.54
16,1,STANDING,0.88
16,2,SITTING,0.87
16,3,SITTING,0.88
16,4,SITTING,0.88
16,5,SITTING,0.87
16,6,SITTING,0.84
16,7,SITTING,0.9
16,8,STANDING,0.82
16,9,SITTING,0.8
16,10,SITTING,0.77
16,11,STANDING,0.71
16,12,SITTING,0.71
16,13,SITTING,0.8
16,14,STANDING,0.65
16,15,SITTING,0.55
17,1,STANDING,0.88
17,2,SITTING,0.87
17,3,SITTING,0.87
17,4,SITTING,0.88
17,5,SITTING,0.86
17,6,SITTING,0.84
17,7,SITTING,0.9
17,8,STANDING,0.82
17,9,SITTING,0.81
17,10,SITTING,0.78
17,11,STANDING,0.71
17,12,SITTING,0.82
17,13,SITTING,0.8
17,14,STANDING,0.68
17,15,SITTING,0.56
17,16,SITTING,0.65
18,1,STANDING,0.88
18,2,SITTING,0.87
18,3,SITTING,0.88
18,4,SITTING,0.88
18,5,SITTING,0.87
18,6,SITTING,0.84
18,7,SITTING,0.9
18,8,STANDING,0.82
18,9,SITTING,0.8
18,10,SITTING,0.78
18,11,STANDING,0.71
18,12,SITTING,0.72
18,13,SITTING,0.8
18,14,STANDING,0.68
18,15,SITTING,0.55
18,16,SITTING,0.66
18,17,SITTING,0.48
19,1,STANDING,0.88
19,2,SITTING,0.87
19,3,SITTING,0.88
19,4,SITTING,0.88
19,5,SITTING,0.87
19,6,SITTING,0.84
19,7,SITTING,0.89
19,8,STANDING,0.82
19,9,SITTING,0.8
19,10,SITTING,0.78
19,11,STANDING,0.74
19,12,SITTING,0.77
19,13,STANDING,0.8
19,14,STANDING,0.69
19,15,SITTING,0.47
19,16,SITTING,0.7
19,17,SITTING,0.46
20,1,STANDING,0.88
20,2,SITTING,0.87
20,3,SITTING,0.88
20,4,SITTING,0.88
20,5,SITTING,0.86
20,6,SITTING,0.84
20,7,SITTING,0.89
20,8,STANDING,0.83
20,9,SITTING,0.82
20,10,SITTING,0.78
20,11,STANDING,0.72
20,12,SITTING,0.82
20,13,STANDING,0.81
20,14,STANDING,0.73
20,15,SITTING,0.5
20,16,SITTING,0.66
20,17,SITTING,0.47
21,1,STANDING,0.88
21,2,SITTING,0.87
21,3,SITTING,0.88
21,4,SITTING,0.88
21,5,SITTING,0.86
21,6,SITTING,0.84
21,7,SITTING,0.89
21,8,STANDING,0.83
21,9,SITTING,0.82
21,10,SITTING,0.78
21,11,STANDING,0.72
21,12,SITTING,0.83
21,13,STANDING,0.8
21,14,STANDING,0.76
21,15,SITTING,0.44
21,16,SITTING,0.68
21,17,SITTING,0.46
22,1,STANDING,0.88
22,2,SITTING,0.87
22,3,SITTING,0.88
22,4,SITTING,0.88
22,5,SITTING,0.86
22,6,SITTING,0.84
22,7,SITTING,0.89
22,8,STANDING,0.83
22,9,SITTING,0.81
22,10,SITTING,0.78
22,11,STANDING,0.74
22,12,SITTING,0.79
22,13,STANDING,0.81
22,14,STANDING,0.79
22,15,SITTING,0.46
22,16,SITTING,0.69
22,17,SITTING,0.47
23,1,STANDING,0.88
23,2,SITTING,0.87
23,3,SITTING,0.88
23,4,SITTING,0.88
23,5,SITTING,0.86
23,6,SITTING,0.84
23,7,SITTING,0.9
23,8,STANDING,0.83
23,9,SITTING,0.82
23,10,SITTING,0.79
23,11,STANDING,0.73
23,12,SITTING,0.79
23,13,STANDING,0.81
23,14,STANDING,0.76
23,15,SITTING,0.45
23,16,SITTING,0.72
23,17,SITTING,0.48
24,1,STANDING,0.88
24,2,SITTING,0.87
24,3,SITTING,0.88
24,4,SITTING,0.88
24,5,SITTING,0.86
24,6,SITTING,0.84
24,7,SITTING,0.89
24,8,STANDING,0.82
24,9,SITTING,0.81
24,10,SITTING,0.79
24,11,STANDING,0.71
24,12,SITTING,0.64
24,13,STANDING,0.8
24,14,STANDING,0.67
24,15,SITTING,0.38
24,16,SITTING,0.71
24,17,SITTING,0.45
25,1,STANDING,0.88
25,2,SITTING,0.87
25,3,SITTING,0.89
25,4,SITTING,0.88
25,5,SITTING,0.87
25,6,SITTING,0.84
25,7,SITTING,0.89
25,8,STANDING,0.81
25,9,SITTING,0.81
25,10,SITTING,0.77
25,11,STANDING,0.74
25,12,SITTING,0.54
25,13,STANDING,0.8
25,14,STANDING,0.65
25,15,SITTING,0.4
25,16,SITTING,0.68
25,17,SITTING,0.47
26,1,STANDING,0.88
26,2,SITTING,0.87
26,3,SITTING,0.88
26,4,SITTING,0.88
26,5,SITTING,0.85
26,6,SITTING,0.84
26,7,SITTING,0.89
26,8,STANDING,0.82
26,9,SITTING,0.81
26,10,SITTING,0.77
26,11,STANDING,0.74
26,12,SITTING,0.52
26,13,STANDING,0.8
26,14,STANDING,0.58
26,15,SITTING,0.4
26,16,SITTING,0.65
26,17,SITTING,0.47
27,1,STANDING,0.88
27,2,SITTING,0.87
27,3,SITTING,0.88
27,4,SITTING,0.88
27,5,SITTING,0.85
27,6,SITTING,0.84
27,7,SITTING,0.89
27,8,STANDING,0.82
27,9,SITTING,0.82
27,10,SITTING,0.77
27,11,STANDING,0.72
27,12,SITTING,0.49
27,13,STANDING,0.8
27,14,STANDING,0.63
27,15,SITTING,0.4
27,16,SITTING,0.64
27,17,SITTING,0.47
28,1,STANDING,0.88
28,2,SITTING,0.87
28,3,SITTING,0.89
28,4,SITTING,0.88
28,5,SITTING,0.86
28,6,SITTING,0.84
28,7,SITTING,0.89
28,8,STANDING,0.82
28,9,SITTING,0.82
28,10,SITTING,0.73
28,11,STANDING,0.72
28,12,SITTING,0.56
28,13,STANDING,0.8
28,14,STANDING,0.76
28,15,SITTING,0.4
28,16,SITTING,0.68
28,17,SITTING,0.47
29,1,STANDING,0.88
29,2,SITTING,0.87
29,3,SITTING,0.88
29,4,SITTING,0.88
29,5,SITTING,0.86
29,6,SITTING,0.84
29,7,SITTING,0.89
29,8,STANDING,0.82
29,9,SITTING,0.81
29,10,SITTING,0.73
29,11,STANDING,0.71
29,12,SITTING,0.63
29,13,STANDING,0.78
29,14,STANDING,0.76
29,15,SITTING,0.42
29,16,SITTING,0.72
29,17,SITTING,0.48
30,1,STANDING,0.88
30,2,SITTING,0.87
30,3,SITTING,0.88
30,4,SITTING,0.88
30,5,SITTING,0.86
30,6,SITTING,0.84
30,7,SITTING,0.89
30,8,STANDING,0.83
30,9,SITTING,0.81
30,10,SITTING,0.76
30,11,STANDING,0.71
30,12,SITTING,0.56
30,13,STANDING,0.79
30,14,STANDING,0.67
30,15,SITTING,0.42
30,16,SITTING,0.72
30,17,SITTING,0.46
31,1,STANDING,0.89
31,2,SITTING,0.89
31,3,SITTING,0.88
31,4,SITTING,0.89
31,5,SITTING,0.85
31,6,SITTING,0.88
31,7,SITTING,0.83
31,8,STANDING,0.86
31,9,SITTING,0.82
31,10,SITTING,0.76
31,11,STANDING,0.85
31,12,SITTING,0.6
31,13,STANDING,0.75
31,14,STANDING,0.67
31,15,SITTING,0.66
31,16,SITTING,0.47
31,17,SITTING,0.59
32,1,STANDING,0.89
32,2,SITTING,0.89
32,3,SITTING,0.88
32,4,SITTING,0.89
32,5,SITTING,0.85
32,6,SITTING,0.88
32,7,SITTING,0.84
32,8,STANDING,0.86
32,9,SITTING,0.81
32,10,SITTING,0.75
32,11,STANDING,0.85
32,12,SITTING,0.59
32,13,STANDING,0.74
32,14,STANDING,0.67
32,15,SITTING,0.67
32,16,SITTING,0.49
32,17,SITTING,0.59
33,1,STANDING,0.89
33,2,SITTING,0.89
33,3,SITTING,0.88
33,4,SITTING,0.89
33,5,SITTING,0.85
33,6,SITTING,0.88
33,7,SITTING,0.84
33,8,STANDING,0.86
33,9,SITTING,0.81
33,10,SITTING,0.76
33,11,STANDING,0.85
33,12,SITTING,0.59
33,13,STANDING,0.74
33,14,STANDING,0.67
33,15,SITTING,0.67
33,16,SITTING,0.49
33,17,SITTING,0.58
34,1,STANDING,0.89
34,2,SITTING,0.89
34,3,SITTING,0.88
34,4,SITTING,0.89
34,5,SITTING,0.86
34,6,SITTING,0.88
34,7,SITTING,0.84
34,8,STANDING,0.86
34,9,SITTING,0.82
34,10,SITTING,0.77
34,11,STANDING,0.86
34,12,SITTING,0.58
34,13,STANDING,0.74
34,14,STANDING,0.68
34,15,SITTING,0.67
34,16,SITTING,0.51
34,17,SITTING,0.6
35,1,STANDING,0.89
35,2,SITTING,0.89
35,3,SITTING,0.88
35,4,SITTING,0.89
